,0,1,2,3,4,5,6
46, Yeah,"  And presumably, it should be possible to imagine a bunch of goods and services that can’t profitably be made now but could be made in that world, courtesy of legions of robots.","It will be so cheap to have goods and services, it will be ridiculous.",Any goods and services will be available to anyone who wants them,But this really will be a world of abundance,"So I think we will have not people out of work, but actually still a shortage of labor, even in the future","I think we’re actually going to have, and already do have, a massive shortage of labor"
47,"  And presumably, it should be possible to imagine a bunch of goods and services that can’t profitably be made now but could be made in that world, courtesy of legions of robots.","It will be so cheap to have goods and services, it will be ridiculous.",Any goods and services will be available to anyone who wants them,But this really will be a world of abundance,"So I think we will have not people out of work, but actually still a shortage of labor, even in the future","I think we’re actually going to have, and already do have, a massive shortage of labor", I wouldn’t worry about the sort of putting people out of a job thing
48,Any goods and services will be available to anyone who wants them,But this really will be a world of abundance,"So I think we will have not people out of work, but actually still a shortage of labor, even in the future","I think we’re actually going to have, and already do have, a massive shortage of labor", I wouldn’t worry about the sort of putting people out of a job thing,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs"
49,But this really will be a world of abundance,"So I think we will have not people out of work, but actually still a shortage of labor, even in the future","I think we’re actually going to have, and already do have, a massive shortage of labor", I wouldn’t worry about the sort of putting people out of a job thing,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs","And maybe for home, they’ll get much cheaper still"
50,"So I think we will have not people out of work, but actually still a shortage of labor, even in the future","I think we’re actually going to have, and already do have, a massive shortage of labor", I wouldn’t worry about the sort of putting people out of a job thing,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs","And maybe for home, they’ll get much cheaper still"," So even if it starts at 50k, within a few years, it’s down to 20k, or lower or whatever"
51,"I think we’re actually going to have, and already do have, a massive shortage of labor", I wouldn’t worry about the sort of putting people out of a job thing,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs","And maybe for home, they’ll get much cheaper still"," So even if it starts at 50k, within a few years, it’s down to 20k, or lower or whatever","So I would expect that it’s going to be less than a car, or at least equivalent to a cheap car."
52, I wouldn’t worry about the sort of putting people out of a job thing,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs","And maybe for home, they’ll get much cheaper still"," So even if it starts at 50k, within a few years, it’s down to 20k, or lower or whatever","So I would expect that it’s going to be less than a car, or at least equivalent to a cheap car.",The complexity and cost of a car is greater than that of a humanoid robot
53,How worried should the world be about that?,"But thinking about the economics of this, if you can replace a $30,000, $40,000-a-year worker, which you have to pay every year, with a one-time payment of $25,000 for a robot that can work longer hours, a pretty rapid replacement of certain types of jobs","And maybe for home, they’ll get much cheaper still"," So even if it starts at 50k, within a few years, it’s down to 20k, or lower or whatever","So I would expect that it’s going to be less than a car, or at least equivalent to a cheap car.",The complexity and cost of a car is greater than that of a humanoid robot,"Initially, things will be expensive because it’ll be new technology at low production volume"
54,The complexity and cost of a car is greater than that of a humanoid robot,"Initially, things will be expensive because it’ll be new technology at low production volume",Like less than a car," Well, I think the cost is actually not going to be crazy high","So, what do you picture the cost of one of these being?",  Help me on the economics of this, I’d say in less than ten years.
55,"Initially, things will be expensive because it’ll be new technology at low production volume",Like less than a car," Well, I think the cost is actually not going to be crazy high","So, what do you picture the cost of one of these being?",  Help me on the economics of this, I’d say in less than ten years.," Initially just selling to businesses, or when do you picture you’ll start selling them where you can buy your parents one for Christmas, or something?"
56,Like less than a car," Well, I think the cost is actually not going to be crazy high","So, what do you picture the cost of one of these being?",  Help me on the economics of this, I’d say in less than ten years.," Initially just selling to businesses, or when do you picture you’ll start selling them where you can buy your parents one for Christmas, or something?",And then we’ll see rapid growth year over year of the usefulness of the humanoid robots and decrease in cost and scaling up production.
57," Well, I think the cost is actually not going to be crazy high","So, what do you picture the cost of one of these being?",  Help me on the economics of this, I’d say in less than ten years.," Initially just selling to businesses, or when do you picture you’ll start selling them where you can buy your parents one for Christmas, or something?",And then we’ll see rapid growth year over year of the usefulness of the humanoid robots and decrease in cost and scaling up production.,"We might have something useful next year, but I think, quite likely within at least two years"
58,"So, what do you picture the cost of one of these being?",  Help me on the economics of this, I’d say in less than ten years.," Initially just selling to businesses, or when do you picture you’ll start selling them where you can buy your parents one for Christmas, or something?",And then we’ll see rapid growth year over year of the usefulness of the humanoid robots and decrease in cost and scaling up production.,"We might have something useful next year, but I think, quite likely within at least two years","And, you know, I think we’ll have like an interesting prototype sometime this year"
59," Initially just selling to businesses, or when do you picture you’ll start selling them where you can buy your parents one for Christmas, or something?",And then we’ll see rapid growth year over year of the usefulness of the humanoid robots and decrease in cost and scaling up production.,"We might have something useful next year, but I think, quite likely within at least two years","And, you know, I think we’ll have like an interesting prototype sometime this year"," Well, you know, the first units that we intend to make are for jobs that are dangerous, boring, repetitive, and things that people don’t want to do", What sort of timeline should we be thinking about of the first models that are actually made and sold?," So yeah, I guess it’ll be whatever people want really, you know."
60,"We might have something useful next year, but I think, quite likely within at least two years","And, you know, I think we’ll have like an interesting prototype sometime this year"," Well, you know, the first units that we intend to make are for jobs that are dangerous, boring, repetitive, and things that people don’t want to do", What sort of timeline should we be thinking about of the first models that are actually made and sold?," So yeah, I guess it’ll be whatever people want really, you know.", Be careful what you promise the internet.,We could make a robot catgirl.
61,"And, you know, I think we’ll have like an interesting prototype sometime this year"," Well, you know, the first units that we intend to make are for jobs that are dangerous, boring, repetitive, and things that people don’t want to do", What sort of timeline should we be thinking about of the first models that are actually made and sold?," So yeah, I guess it’ll be whatever people want really, you know.", Be careful what you promise the internet.,We could make a robot catgirl.,"I mean, I did promise the internet that I’d make catgirls"
62," Well, you know, the first units that we intend to make are for jobs that are dangerous, boring, repetitive, and things that people don’t want to do", What sort of timeline should we be thinking about of the first models that are actually made and sold?," So yeah, I guess it’ll be whatever people want really, you know.", Be careful what you promise the internet.,We could make a robot catgirl.,"I mean, I did promise the internet that I’d make catgirls", It’s probably inevitable
63, What sort of timeline should we be thinking about of the first models that are actually made and sold?," So yeah, I guess it’ll be whatever people want really, you know.", Be careful what you promise the internet.,We could make a robot catgirl.,"I mean, I did promise the internet that I’d make catgirls", It’s probably inevitable,"  I mean, how much of a buddy? How many applications do you thought is that? You know, can you have a romantic partner, a sex partner, lover?"
64, Be careful what you promise the internet.,We could make a robot catgirl.,"I mean, I did promise the internet that I’d make catgirls", It’s probably inevitable,"  I mean, how much of a buddy? How many applications do you thought is that? You know, can you have a romantic partner, a sex partner, lover?"," Yeah, you will have your sort of buddy robot probably, yeah."," …will love them and count on them? You have your own butler, basically."
65,"I mean, I did promise the internet that I’d make catgirls", It’s probably inevitable,"  I mean, how much of a buddy? How many applications do you thought is that? You know, can you have a romantic partner, a sex partner, lover?"," Yeah, you will have your sort of buddy robot probably, yeah."," …will love them and count on them? You have your own butler, basically."," Yeah, I think there probably will."," Do you think there will be basically like in, say, 2050 or whatever, a robot in most homes is what there will be, and people…"
66, It’s probably inevitable,"  I mean, how much of a buddy? How many applications do you thought is that? You know, can you have a romantic partner, a sex partner, lover?"," Yeah, you will have your sort of buddy robot probably, yeah."," …will love them and count on them? You have your own butler, basically."," Yeah, I think there probably will."," Do you think there will be basically like in, say, 2050 or whatever, a robot in most homes is what there will be, and people…",  in our pocket?
67,"  I mean, how much of a buddy? How many applications do you thought is that? You know, can you have a romantic partner, a sex partner, lover?"," Yeah, you will have your sort of buddy robot probably, yeah."," …will love them and count on them? You have your own butler, basically."," Yeah, I think there probably will."," Do you think there will be basically like in, say, 2050 or whatever, a robot in most homes is what there will be, and people…",  in our pocket?,"And people at the time said, “Yeah, whatever, who would even want that.”"
68," …will love them and count on them? You have your own butler, basically."," Yeah, I think there probably will."," Do you think there will be basically like in, say, 2050 or whatever, a robot in most homes is what there will be, and people…",  in our pocket?,"And people at the time said, “Yeah, whatever, who would even want that.”","I mean, at the start of the computer revolution Bill Gates said there’s gonna be a computer in every home","But I don’t think many people have really sort of taken seriously the notion of, you know, a robot at home"
69," Do you think there will be basically like in, say, 2050 or whatever, a robot in most homes is what there will be, and people…",  in our pocket?,"And people at the time said, “Yeah, whatever, who would even want that.”","I mean, at the start of the computer revolution Bill Gates said there’s gonna be a computer in every home","But I don’t think many people have really sort of taken seriously the notion of, you know, a robot at home", Let’s come back to that,But I think this is an important thing for public safety.
70,"And people at the time said, “Yeah, whatever, who would even want that.”","I mean, at the start of the computer revolution Bill Gates said there’s gonna be a computer in every home","But I don’t think many people have really sort of taken seriously the notion of, you know, a robot at home", Let’s come back to that,But I think this is an important thing for public safety.,I don’t love being regulated,I’ve said this for many years
71,I don’t love being regulated,I’ve said this for many years, And I do think there should be a regulatory agency for AI," Yeah, that sounds wise.",I think it’s gonna be important to have safety features like that.,And that’s not updatable remotely,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing"
72,I’ve said this for many years, And I do think there should be a regulatory agency for AI," Yeah, that sounds wise.",I think it’s gonna be important to have safety features like that.,And that’s not updatable remotely,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing",I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air
73, And I do think there should be a regulatory agency for AI," Yeah, that sounds wise.",I think it’s gonna be important to have safety features like that.,And that’s not updatable remotely,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing",I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation"
74," Yeah, that sounds wise.",I think it’s gonna be important to have safety features like that.,And that’s not updatable remotely,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing",I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation", Yes
75,And that’s not updatable remotely,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing",I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation", Yes,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly."
76,"Where if you, for example, were to say, “Stop, stop, stop,”… if anyone said that, then the robot would stop, you know, type of thing",I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation", Yes,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly.", Exactly
77,I think one of the things that’s going to be important is to have a localized ROM chip on the robot that cannot be updated over the air,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation", Yes,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly.", Exactly, Take a cup of tea to grandma and show her family pictures.
78,"I mean, obviously, we need to be careful, it just doesn’t become a dystopian situation", Yes,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly.", Exactly, Take a cup of tea to grandma and show her family pictures.,"Make dinner, I guess, mow the lawn."
79, Yes,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly.", Exactly, Take a cup of tea to grandma and show her family pictures.,"Make dinner, I guess, mow the lawn."," Yeah, absolutely"
80,"  It could obviously recognize everyone in the home, could play catch with your kids?","Take care of my grandmother and make sure… yeah, exactly.", Exactly, Take a cup of tea to grandma and show her family pictures.,"Make dinner, I guess, mow the lawn."," Yeah, absolutely"," If you had a robot that really understood the 3D architecture of your house and knew where every object in that house was, or was supposed to be, and could recognize all those objects – I mean, that’s kind of amazing, isn’t it? Like the kind of thing that you could ask a robot to do would be what? Like, tidy up?"
81, Exactly, Take a cup of tea to grandma and show her family pictures.,"Make dinner, I guess, mow the lawn."," Yeah, absolutely"," If you had a robot that really understood the 3D architecture of your house and knew where every object in that house was, or was supposed to be, and could recognize all those objects – I mean, that’s kind of amazing, isn’t it? Like the kind of thing that you could ask a robot to do would be what? Like, tidy up?", Correct.,"But eventually, the vision is to have these available for people at home."
82, Take a cup of tea to grandma and show her family pictures.,"Make dinner, I guess, mow the lawn."," Yeah, absolutely"," If you had a robot that really understood the 3D architecture of your house and knew where every object in that house was, or was supposed to be, and could recognize all those objects – I mean, that’s kind of amazing, isn’t it? Like the kind of thing that you could ask a robot to do would be what? Like, tidy up?", Correct.,"But eventually, the vision is to have these available for people at home.",  But let’s talk about… I think the first applications you’ve mentioned are probably going to be manufacturing
83," Yeah, absolutely"," If you had a robot that really understood the 3D architecture of your house and knew where every object in that house was, or was supposed to be, and could recognize all those objects – I mean, that’s kind of amazing, isn’t it? Like the kind of thing that you could ask a robot to do would be what? Like, tidy up?", Correct.,"But eventually, the vision is to have these available for people at home.",  But let’s talk about… I think the first applications you’ve mentioned are probably going to be manufacturing, As long as AI doesn’t take it over and murder us in our sleep or something.," And so, a mistake…  there aren’t lives at stake, there might be embarrassment at stake."
84," If you had a robot that really understood the 3D architecture of your house and knew where every object in that house was, or was supposed to be, and could recognize all those objects – I mean, that’s kind of amazing, isn’t it? Like the kind of thing that you could ask a robot to do would be what? Like, tidy up?", Correct.,"But eventually, the vision is to have these available for people at home.",  But let’s talk about… I think the first applications you’ve mentioned are probably going to be manufacturing, As long as AI doesn’t take it over and murder us in our sleep or something.," And so, a mistake…  there aren’t lives at stake, there might be embarrassment at stake."," Yeah, walking speed, basically."
85,"But eventually, the vision is to have these available for people at home.",  But let’s talk about… I think the first applications you’ve mentioned are probably going to be manufacturing, As long as AI doesn’t take it over and murder us in our sleep or something.," And so, a mistake…  there aren’t lives at stake, there might be embarrassment at stake."," Yeah, walking speed, basically.","I mean, in one way, it’s actually an easier problem than full self-driving because instead of an object going along at 60 miles an hour, which if it gets it wrong, someone will die, this is an object that’s engineered to only go at what, three or four or five miles an hour.",  Let’s dig into exactly that
86," And so, a mistake…  there aren’t lives at stake, there might be embarrassment at stake."," Yeah, walking speed, basically.","I mean, in one way, it’s actually an easier problem than full self-driving because instead of an object going along at 60 miles an hour, which if it gets it wrong, someone will die, this is an object that’s engineered to only go at what, three or four or five miles an hour.",  Let’s dig into exactly that,This is going to be bigger than the car.,People have no idea,We basically just need to design the specialized actuators and sensors that are needed for humanoid robot
87,"I mean, in one way, it’s actually an easier problem than full self-driving because instead of an object going along at 60 miles an hour, which if it gets it wrong, someone will die, this is an object that’s engineered to only go at what, three or four or five miles an hour.",  Let’s dig into exactly that,This is going to be bigger than the car.,People have no idea,We basically just need to design the specialized actuators and sensors that are needed for humanoid robot,Those are two things that Tesla is very good at,"So, the missing things are basically real-world intelligence and scaling up manufacturing"
88,"The two hard parts, I think… like obviously, companies like Boston Dynamics have shown that it’s possible to make quite compelling, sometimes alarming robots","At the point at which you solve real-world AI for a car, which is really a robot on four wheels, you can then generalize that to a robot on legs as well","So, you know, it took me a while to sort of realize that in order to solve self-driving, you really needed to solve real-world AI"," Yeah, exactly","Is it something that happened in the development of full self-driving that gave you the confidence to say, you know what, we could do something special here?","There are some in manufacturing, but I would say that no one’s kind of really cracked it",There’s no mass adoption robot in people’s homes
89,"At the point at which you solve real-world AI for a car, which is really a robot on four wheels, you can then generalize that to a robot on legs as well","So, you know, it took me a while to sort of realize that in order to solve self-driving, you really needed to solve real-world AI"," Yeah, exactly","Is it something that happened in the development of full self-driving that gave you the confidence to say, you know what, we could do something special here?","There are some in manufacturing, but I would say that no one’s kind of really cracked it",There’s no mass adoption robot in people’s homes,"And so far, no one has really cracked it"
90,"So, you know, it took me a while to sort of realize that in order to solve self-driving, you really needed to solve real-world AI"," Yeah, exactly","Is it something that happened in the development of full self-driving that gave you the confidence to say, you know what, we could do something special here?","There are some in manufacturing, but I would say that no one’s kind of really cracked it",There’s no mass adoption robot in people’s homes,"And so far, no one has really cracked it"," Many companies out there have tried to put out these robots, they have been working on them for years"
91," Yeah, exactly","Is it something that happened in the development of full self-driving that gave you the confidence to say, you know what, we could do something special here?","There are some in manufacturing, but I would say that no one’s kind of really cracked it",There’s no mass adoption robot in people’s homes,"And so far, no one has really cracked it"," Many companies out there have tried to put out these robots, they have been working on them for years", Yes.
92,"Is it something that happened in the development of full self-driving that gave you the confidence to say, you know what, we could do something special here?","There are some in manufacturing, but I would say that no one’s kind of really cracked it",There’s no mass adoption robot in people’s homes,"And so far, no one has really cracked it"," Many companies out there have tried to put out these robots, they have been working on them for years", Yes.,Because you really surprised people recently when you said probably the most important product development going on at Tesla this year is this robot Optimus.
93,Because you really surprised people recently when you said probably the most important product development going on at Tesla this year is this robot Optimus.,"  So that’s it feels like at some point in the last year, seeing the progress on that the Tesla AI understanding the world around it led to a kind, an aha moment at Tesla",That’s the more important part.,"It’s sort of like, you know, if there’s some radical technology prediction, the point is not that it was a few years late, but that it happened at all",It’s very rare that they do not come true,But they do come true,Some of them are exceeded probably more or later
94,"Because there’s sort of like a law of gaseous expansion for schedules, where whatever time you set, it’s not going to be less than that"," Well, I generally believe, in terms of internal timelines, that we want to set the most aggressive timeline that we can","Is there an element that you actually deliberately make aggressive prediction timelines to drive people to be ambitious? And without that, nothing gets done?","Some things, I guess, things involving software, you know, AI, whatever, are fundamentally harder to predict than others",It depends on the type of prediction,"  In general, when people talk about Elon time, I mean, it sounds like you can’t just have a general rule that if you predict that something will be done in six months, actually, what we should imagine is it’s going to be a year, or it’s like 2x, or 3x",But I think this is the year.
95," Well, I generally believe, in terms of internal timelines, that we want to set the most aggressive timeline that we can","Is there an element that you actually deliberately make aggressive prediction timelines to drive people to be ambitious? And without that, nothing gets done?","Some things, I guess, things involving software, you know, AI, whatever, are fundamentally harder to predict than others",It depends on the type of prediction,"  In general, when people talk about Elon time, I mean, it sounds like you can’t just have a general rule that if you predict that something will be done in six months, actually, what we should imagine is it’s going to be a year, or it’s like 2x, or 3x",But I think this is the year.,"I mean, we could be here talking again in a year, like, well, another year went by, and it didn’t happen"
96,"Is there an element that you actually deliberately make aggressive prediction timelines to drive people to be ambitious? And without that, nothing gets done?","Some things, I guess, things involving software, you know, AI, whatever, are fundamentally harder to predict than others",It depends on the type of prediction,"  In general, when people talk about Elon time, I mean, it sounds like you can’t just have a general rule that if you predict that something will be done in six months, actually, what we should imagine is it’s going to be a year, or it’s like 2x, or 3x",But I think this is the year.,"I mean, we could be here talking again in a year, like, well, another year went by, and it didn’t happen"," Yes, that’s what it seems like"
97,"I mean, we could be here talking again in a year, like, well, another year went by, and it didn’t happen"," Yes, that’s what it seems like","But behind the scenes, looking at the data, you’re seeing enough improvement to believe that a this-year timeline is real.", It’s still beta, It’s still a beta.,"I mean, occasionally, the car seems to sort of like veer off and scare the hell out of people."," Some of them are great, and some of them are a little terrifying"
98," Yes, that’s what it seems like","But behind the scenes, looking at the data, you’re seeing enough improvement to believe that a this-year timeline is real.", It’s still beta, It’s still a beta.,"I mean, occasionally, the car seems to sort of like veer off and scare the hell out of people."," Some of them are great, and some of them are a little terrifying"," Okay, great."
99,"But behind the scenes, looking at the data, you’re seeing enough improvement to believe that a this-year timeline is real.", It’s still beta, It’s still a beta.,"I mean, occasionally, the car seems to sort of like veer off and scare the hell out of people."," Some of them are great, and some of them are a little terrifying"," Okay, great.", I do.
100,"I mean, occasionally, the car seems to sort of like veer off and scare the hell out of people."," Some of them are great, and some of them are a little terrifying"," Okay, great.", I do.,So you can look at the videos that they posted online.,"And we have over 100,000 people in our full self-driving beta program"," Yes, I mean, the car currently drives me around awesome most of the time with no interventions"
101, I do.,So you can look at the videos that they posted online.,"And we have over 100,000 people in our full self-driving beta program"," Yes, I mean, the car currently drives me around awesome most of the time with no interventions","But we’ve got a new architecture, and now you’re seeing enough improvement behind the scenes to make you not certain but pretty confident that this, by the end of this year, what in most, not in every city, in every circumstance, but in many cities and circumstances, basically the car will be able to drive without interventions safer than a human."," A skeptic is gonna say that every year for the last five years, you’ve kind of said, well, no, this is the year, we’re confident that it will be there in a year or two or, you know, like, it’s always been about that far away", …so you do just slow down.
102,"And we have over 100,000 people in our full self-driving beta program"," Yes, I mean, the car currently drives me around awesome most of the time with no interventions","But we’ve got a new architecture, and now you’re seeing enough improvement behind the scenes to make you not certain but pretty confident that this, by the end of this year, what in most, not in every city, in every circumstance, but in many cities and circumstances, basically the car will be able to drive without interventions safer than a human."," A skeptic is gonna say that every year for the last five years, you’ve kind of said, well, no, this is the year, we’re confident that it will be there in a year or two or, you know, like, it’s always been about that far away", …so you do just slow down.,  A computer doesn’t know it.,"If you’re talking about, say, a pedestrian walking past a truck where you saw the pedestrian start on one side of the truck, then they’re occluded by the truck, you would know intuitively, okay, that pedestrian is gonna pop out the other side most likely…"
103," Yes, I mean, the car currently drives me around awesome most of the time with no interventions","But we’ve got a new architecture, and now you’re seeing enough improvement behind the scenes to make you not certain but pretty confident that this, by the end of this year, what in most, not in every city, in every circumstance, but in many cities and circumstances, basically the car will be able to drive without interventions safer than a human."," A skeptic is gonna say that every year for the last five years, you’ve kind of said, well, no, this is the year, we’re confident that it will be there in a year or two or, you know, like, it’s always been about that far away", …so you do just slow down.,  A computer doesn’t know it.,"If you’re talking about, say, a pedestrian walking past a truck where you saw the pedestrian start on one side of the truck, then they’re occluded by the truck, you would know intuitively, okay, that pedestrian is gonna pop out the other side most likely…","So you have to say, how much are you going to try to remember? It’s very common for things to be occluded"
104,"But we’ve got a new architecture, and now you’re seeing enough improvement behind the scenes to make you not certain but pretty confident that this, by the end of this year, what in most, not in every city, in every circumstance, but in many cities and circumstances, basically the car will be able to drive without interventions safer than a human."," A skeptic is gonna say that every year for the last five years, you’ve kind of said, well, no, this is the year, we’re confident that it will be there in a year or two or, you know, like, it’s always been about that far away", …so you do just slow down.,  A computer doesn’t know it.,"If you’re talking about, say, a pedestrian walking past a truck where you saw the pedestrian start on one side of the truck, then they’re occluded by the truck, you would know intuitively, okay, that pedestrian is gonna pop out the other side most likely…","So you have to say, how much are you going to try to remember? It’s very common for things to be occluded","What I mean by that is… the memory can’t be infinite because it’s using up a lot of computer’s RAM, basically"
105,  A computer doesn’t know it.,"If you’re talking about, say, a pedestrian walking past a truck where you saw the pedestrian start on one side of the truck, then they’re occluded by the truck, you would know intuitively, okay, that pedestrian is gonna pop out the other side most likely…","So you have to say, how much are you going to try to remember? It’s very common for things to be occluded","What I mean by that is… the memory can’t be infinite because it’s using up a lot of computer’s RAM, basically", You basically need to have memory across time and space,"And the remaining task is to predict what the quirky behaviors are that, you know, when a pedestrian is walking down the road with a smaller pedestrian that maybe that smaller pedestrian might do something unpredictable or like things like that… that you have to build into it before you can really call it safe.","It knows what they are, and it knows how fast they are moving"
106,"So you have to say, how much are you going to try to remember? It’s very common for things to be occluded","What I mean by that is… the memory can’t be infinite because it’s using up a lot of computer’s RAM, basically", You basically need to have memory across time and space,"And the remaining task is to predict what the quirky behaviors are that, you know, when a pedestrian is walking down the road with a smaller pedestrian that maybe that smaller pedestrian might do something unpredictable or like things like that… that you have to build into it before you can really call it safe.","It knows what they are, and it knows how fast they are moving","  What you’re saying is that you think that… I mean, the result of this is that you’re effectively giving the car a 3D model of the actual objects that are all around it","So basically, what you have to have is, you have to have surround video, and that surround video has to be primarily automatically labeled with humans just being editors of making slight corrections to the labeling of the video and then feeding back those corrections into the future auto labeler, so you get this flywheel eventually where the auto labeler is able to take in vast amounts of video, and with high accuracy automatically label the video for cars, lane lines, drive space,…"
107,"What I mean by that is… the memory can’t be infinite because it’s using up a lot of computer’s RAM, basically", You basically need to have memory across time and space,"And the remaining task is to predict what the quirky behaviors are that, you know, when a pedestrian is walking down the road with a smaller pedestrian that maybe that smaller pedestrian might do something unpredictable or like things like that… that you have to build into it before you can really call it safe.","It knows what they are, and it knows how fast they are moving","  What you’re saying is that you think that… I mean, the result of this is that you’re effectively giving the car a 3D model of the actual objects that are all around it","So basically, what you have to have is, you have to have surround video, and that surround video has to be primarily automatically labeled with humans just being editors of making slight corrections to the labeling of the video and then feeding back those corrections into the future auto labeler, so you get this flywheel eventually where the auto labeler is able to take in vast amounts of video, and with high accuracy automatically label the video for cars, lane lines, drive space,…",This is not scalable
108, You basically need to have memory across time and space,"And the remaining task is to predict what the quirky behaviors are that, you know, when a pedestrian is walking down the road with a smaller pedestrian that maybe that smaller pedestrian might do something unpredictable or like things like that… that you have to build into it before you can really call it safe.","It knows what they are, and it knows how fast they are moving","  What you’re saying is that you think that… I mean, the result of this is that you’re effectively giving the car a 3D model of the actual objects that are all around it","So basically, what you have to have is, you have to have surround video, and that surround video has to be primarily automatically labeled with humans just being editors of making slight corrections to the labeling of the video and then feeding back those corrections into the future auto labeler, so you get this flywheel eventually where the auto labeler is able to take in vast amounts of video, and with high accuracy automatically label the video for cars, lane lines, drive space,…",This is not scalable,"In the beginning, it was taking several hours to label a 10-second video clip"
109,"And the remaining task is to predict what the quirky behaviors are that, you know, when a pedestrian is walking down the road with a smaller pedestrian that maybe that smaller pedestrian might do something unpredictable or like things like that… that you have to build into it before you can really call it safe.","It knows what they are, and it knows how fast they are moving","  What you’re saying is that you think that… I mean, the result of this is that you’re effectively giving the car a 3D model of the actual objects that are all around it","So basically, what you have to have is, you have to have surround video, and that surround video has to be primarily automatically labeled with humans just being editors of making slight corrections to the labeling of the video and then feeding back those corrections into the future auto labeler, so you get this flywheel eventually where the auto labeler is able to take in vast amounts of video, and with high accuracy automatically label the video for cars, lane lines, drive space,…",This is not scalable,"In the beginning, it was taking several hours to label a 10-second video clip",We had to write our own labeling tools and then create auto-labeling software to amplify the efficiency of human labelers because it’s quite hard to label a video.
110,"But if you look at one image out of a video, it’s actually quite hard to see what’s going on without ambiguity","In the beginning, we were trying to do this with image recognition on individual images", We’re almost at the point where we have a high-quality unified vector space, What are you seeing behind the scenes that gives you that confidence?, I think we will exceed that this year., Right.,"That we will exceed… if you say, like, what is the probability of an accident, at what point do you exceed that of the average person?"
111,"In the beginning, we were trying to do this with image recognition on individual images", We’re almost at the point where we have a high-quality unified vector space, What are you seeing behind the scenes that gives you that confidence?, I think we will exceed that this year., Right.,"That we will exceed… if you say, like, what is the probability of an accident, at what point do you exceed that of the average person?"," Well, I mean, admittedly, these may be infamous last words, but I actually am confident that we will solve it this year"
112, We’re almost at the point where we have a high-quality unified vector space, What are you seeing behind the scenes that gives you that confidence?, I think we will exceed that this year., Right.,"That we will exceed… if you say, like, what is the probability of an accident, at what point do you exceed that of the average person?"," Well, I mean, admittedly, these may be infamous last words, but I actually am confident that we will solve it this year",  What do you feel about the current architecture? Do you think you have an architecture now where there is a chance for the logarithmic curve not to tail off any anytime soon?
113, What are you seeing behind the scenes that gives you that confidence?, I think we will exceed that this year., Right.,"That we will exceed… if you say, like, what is the probability of an accident, at what point do you exceed that of the average person?"," Well, I mean, admittedly, these may be infamous last words, but I actually am confident that we will solve it this year",  What do you feel about the current architecture? Do you think you have an architecture now where there is a chance for the logarithmic curve not to tail off any anytime soon?,"You know, I guess when we put it that way, it’s quite obvious that the only way to solve full self-driving is to solve real-world AI and sophisticated vision."
